Wrestler ID,Division ID,School ID,Season,Weight,Place,Ordinal
340,6,193,1981,126,2,2nd
341,1,129,1979,126,4,4th
341,1,129,1980,126,3,3rd
341,1,129,1981,134,3,3rd
342,1,9,1980,126,4,4th
343,1,246,1980,126,5,5th
344,1,245,1980,126,6,6th
345,1,158,1980,126,7,7th
345,1,158,1983,134,4,4th
345,6,158,1979,118,4,4th
345,6,158,1980,126,4,4th
345,6,158,1981,134,2,2nd
345,6,158,1983,134,2,2nd
346,1,152,1980,126,8,8th
346,5,152,1980,126,1,1st
347,1,121,1978,126,2,2nd
347,1,121,1979,126,1,1st
347,1,121,1980,134,1,1st
347,1,121,1981,134,7,7th
347,5,121,1978,126,1,1st
347,5,121,1979,126,1,1st
347,5,121,1980,134,1,1st
347,5,121,1981,134,2,2nd
348,1,134,1979,134,1,1st
348,1,134,1980,134,2,2nd
348,1,134,1981,134,2,2nd
348,1,134,1983,142,1,1st
348,4,134,1979,134,1,1st
348,4,134,1980,134,1,1st
348,4,134,1981,134,1,1st
348,4,134,1983,142,1,1st
350,1,194,1980,134,4,4th
350,1,194,1982,134,7,7th
351,1,193,1980,134,5,5th
351,6,193,1980,134,2,2nd
351,6,193,1981,134,4,4th
353,1,122,1980,134,7,7th
353,1,122,1981,134,1,1st
353,1,122,1982,134,3,3rd
353,6,122,1980,134,1,1st
353,6,122,1981,134,3,3rd
353,6,122,1982,134,1,1st
354,1,197,1979,126,8,8th
354,1,197,1980,134,8,8th
355,1,193,1977,134,5,5th
355,1,193,1979,142,4,4th
355,1,193,1980,142,1,1st
355,6,193,1977,134,1,1st
355,6,193,1978,134,1,1st
355,6,193,1979,142,1,1st
355,6,193,1980,142,1,1st
356,1,192,1979,142,5,5th
356,1,192,1980,142,2,2nd
356,1,192,1981,142,1,1st
356,1,192,1982,142,1,1st
356,6,192,1979,142,2,2nd
356,6,192,1980,142,2,2nd
356,6,192,1981,142,1,1st
356,6,192,1982,142,2,2nd
357,1,9,1979,142,7,7th
357,1,9,1980,142,3,3rd
358,1,121,1980,142,4,4th
358,1,121,1981,142,2,2nd
