Season,Weight,Bracket,Round,Winner,Loser,Score,Decision Type
1934,165,1,3,9115,10396,Fall 3:15,2
1934,165,1,3,9237,10394,Fall 9:38,2
1934,165,1,3,9933,10395,Dec,1
1934,165,1,4,9115,9933,Dec,1
1934,165,1,4,9237,8863,Dec,1
1934,165,1,5,9115,9237,Dec,1
1934,175,0,11,9151,10397,,1
1934,175,1,2,9151,10400,Fall 2:52,2
1934,175,1,3,8845,10397,Dec,1
1934,175,1,3,8944,10398,Fall 7:18,2
1934,175,1,3,9151,10399,Dec,1
1934,175,1,3,9244,10026,Dec,1
1934,175,1,4,8845,9151,Dec,1
1934,175,1,4,8944,9244,Dec,1
1934,175,1,5,8944,8845,Dec,1
1934,UNL,0,15,8936,8893,,1
1934,UNL,1,2,8844,9956,Dec,1
1934,UNL,1,2,9251,10402,Dec,1
1934,UNL,1,2,9261,10015,Dec,1
1934,UNL,1,2,10401,8999,Dec,1
1934,UNL,1,3,8893,9255,Fall 8:51,2
1934,UNL,1,3,8936,10403,Fall 8:30,2
1934,UNL,1,3,9251,8844,Dec,1
1934,UNL,1,3,9261,10401,Dec,1
1934,UNL,1,4,8893,9261,Dec,1
1934,UNL,1,4,9251,8936,Fall 7:43,2
1934,UNL,1,5,9251,8893,Fall 9:16,2
1935,118,0,10,9962,9960,Fall 3:41,2
1935,118,0,11,8929,9962,Fall 3:50,2
1935,118,0,12,8929,8902,Fall 5:09,2
1935,118,1,2,8902,10054,Dec,1
1935,118,1,2,9181,9960,Fall 4:10,2
1935,118,1,2,9959,9247,Dec,1
1935,118,1,2,9962,9961,Fall 5:57,2
1935,118,1,2,9964,9963,Fall 9:00,2
1935,118,1,3,8902,9964,Dec,1
1935,118,1,3,8929,9959,Fall 7:43,2
1935,118,1,3,9181,9962,Fall 5:11,2
1935,118,1,3,9965,9974,Dec OT,1
1935,118,1,4,8902,9965,Fall 6:00,2
1935,118,1,4,9181,8929,Dec,1
1935,118,1,5,9181,8902,Fall 5:52,2
1935,126,0,10,8907,9983,Dec,1
1935,126,0,10,9072,9966,Dec,1
1935,126,0,11,8907,9971,Dec,1
1935,126,0,11,9967,9072,Dec,1
1935,126,0,12,8907,9967,DFT,3
1935,126,0,15,9239,9967,Dec,1
1935,126,1,2,8907,9970,Dec,1
